##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BAC_R1_001_fastq
1104	150-151	0.4559818392389161
1105	1	-0.05662196380411899
1105	2	0.07920665223318935
1105	3	0.1307993535243952
1105	4	-0.08442803982079994
1105	5	0.1402397344230195
1105	6	0.08995867471845287
1105	7	0.10047921731032261
1105	8	0.005903889908921656
1105	9	0.13948895417678386
1105	10-14	0.118627727987203
1105	15-19	0.139239834352189
1105	20-24	0.15236601054088794
1105	25-29	0.178485423370482
1105	30-34	0.1159940024485806
1105	35-39	0.13012523656090025
1105	40-44	0.1600586114452156
1105	45-49	0.1227892337860439
1105	50-54	0.14933398397970876
1105	55-59	0.13523396096913132
1105	60-64	0.14172651687138682
1105	65-69	0.17030039321462453
1105	70-74	0.2296859493647787
1105	75-79	0.24524552753567974
1105	80-84	0.2406970217057136
1105	85-89	0.3103065010943453
1105	90-94	0.1751257749963031
1105	95-99	0.26770141868065167
1105	100-104	0.25657152663139726
1105	105-109	0.31907744399764937
1105	110-114	0.29173255420781175
1105	115-119	0.3543866635229662
1105	120-124	0.35120574266319693
1105	125-129	0.32539981745811275
1105	130-134	0.36277781742222714
1105	135-139	0.4107244368720373
1105	140-144	0.4850072577203264
1105	145-149	0.40044934302504487
1105	150-151	0.6313485095882783
1106	1	0.14395765638948177
1106	2	0.048559693320491704
1106	3	0.20066410881255337
1106	4	0.10634608849649396
1106	5	0.08095880382727927
1106	6	0.20438527785047
1106	7	0.15439774346664592
1106	8	0.12611585003959647
1106	9	0.15832243933924417
1106	10-14	0.17585579535261076
1106	15-19	0.19037905331648375
1106	20-24	0.1894548622789074
1106	25-29	0.18013719076158452
1106	30-34	0.1620399382665738
1106	35-39	0.14924684660433485
1106	40-44	0.14388694746183717
1106	45-49	0.13845747935701525
1106	50-54	0.1543497731329566
1106	55-59	0.20217993334412654
1106	60-64	0.1310650482814495
1106	65-69	0.17774358850667937
1106	70-74	0.2067536889265753
1106	75-79	0.1335181732839814
1106	80-84	0.2299197088224716
1106	85-89	0.29226606406002276
1106	90-94	0.26057567890964606
1106	95-99	0.3220512865784002
1106	100-104	0.2958669354734198
1106	105-109	0.3990748714532373
1106	110-114	0.34101638139598833
1106	115-119	0.37273564615819055
1106	120-124	0.3842600683220496
1106	125-129	0.43573866663033556
1106	130-134	0.3850578712184216
1106	135-139	0.5046584548986601
1106	140-144	0.5007035167119724
1106	145-149	0.5003077679904848
1106	150-151	0.4017252251486525
1107	1	0.021278526950140986
1107	2	0.07206232143460767
1107	3	0.09839626462242279
1107	4	0.18101615618461864
1107	5	0.21879556854833027
1107	6	0.15233263306355127
1107	7	-0.016238022949188746
1107	8	0.21139462952208277
1107	9	0.0956052202930664
1107	10-14	0.11768681225574085
1107	15-19	0.2308061175634819
1107	20-24	0.22531736154839876
1107	25-29	0.145477711159117
1107	30-34	0.17032958428762157
1107	35-39	0.12440638583998975
1107	40-44	0.15054318730969385
1107	45-49	0.110148981725672
1107	50-54	0.11699477788201307
1107	55-59	0.14859523971791333
1107	60-64	0.14836531558452748
1107	65-69	0.17981107937131924
1107	70-74	0.18157033311743476
1107	75-79	0.21388491773363683
1107	80-84	0.18826963465156865
