##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
1103	40-44	0.1549006554860881
1103	45-49	0.16325422289236258
1103	50-54	0.2272423146432203
1103	55-59	0.21114643881043804
1103	60-64	0.26151677284852326
1103	65-69	0.235855446955739
1103	70-74	0.2409210254766876
1103	75-79	0.22804433109894973
1103	80-84	0.3071917048907835
1103	85-89	0.4375848407896967
1103	90-94	0.2549010107963454
1103	95-99	0.3222328848824958
1103	100-104	0.23921001045778922
1103	105-109	0.32740735049974035
1103	110-114	0.1883600634882754
1103	115-119	0.44074613564009724
1103	120-124	0.29796150869470495
1103	125-129	0.34776697585277105
1103	130-134	0.33166164328562076
1103	135-139	0.5199498297292635
1103	140-144	0.5114967117859663
1103	145-149	0.4610775499961832
1103	150-151	0.38054323488783837
1104	1	-0.03081438239002665
1104	2	0.15237895912638066
1104	3	0.14805289415456713
1104	4	0.08376420137165042
1104	5	0.09147264979916514
1104	6	0.1150179794728814
1104	7	0.16500720245349498
1104	8	0.13247775862591027
1104	9	0.12459475202637549
1104	10-14	0.12090063837547405
1104	15-19	0.1292719756226859
1104	20-24	0.1733832993955886
1104	25-29	0.15659862558983662
1104	30-34	0.16221297645904542
1104	35-39	0.11304572494166365
1104	40-44	0.1783371319875542
1104	45-49	0.16096416807880587
1104	50-54	0.1337525116570717
1104	55-59	0.23921177494727885
1104	60-64	0.19650197965344773
1104	65-69	0.24754691877419788
1104	70-74	0.23988466330416003
1104	75-79	0.24545955848933687
1104	80-84	0.2993811813402161
1104	85-89	0.37464767586396164
1104	90-94	0.2593451706811507
1104	95-99	0.2910891663245181
1104	100-104	0.4336968121369509
1104	105-109	0.46997869026999695
1104	110-114	0.30052896720010835
1104	115-119	0.39921341096149376
1104	120-124	0.3486488897597013
1104	125-129	0.4343629457746232
1104	130-134	0.3983056637779754
1104	135-139	0.5115115385319768
1104	140-144	0.5368928949897125
1104	145-149	0.4589163822653646
1104	150-151	0.6375898403955702
1105	1	-0.07440783240151916
1105	2	0.12991656077500124
1105	3	0.006679590769124388
1105	4	-0.13318007628381423
1105	5	-0.09178321931966593
1105	6	0.005548071911036345
1105	7	0.10538718481092957
1105	8	-8.526095700247538E-4
1105	9	-0.05390651927628198
1105	10-14	0.08387763632211431
1105	15-19	0.08683670827849
1105	20-24	0.14493577120825307
1105	25-29	0.07491264846586887
1105	30-34	0.07223617865917475
1105	35-39	0.11377079614342023
1105	40-44	0.09999315676166276
1105	45-49	0.0697462859385567
1105	50-54	0.07222189648207689
1105	55-59	0.13232186909920074
1105	60-64	0.048270841505804185
1105	65-69	0.15889386388668214
1105	70-74	0.2098573045639256
1105	75-79	0.21853372449258757
1105	80-84	0.25652997172617376
1105	85-89	0.3670962023697655
1105	90-94	0.1985123707018559
1105	95-99	0.14845066510601868
1105	100-104	0.20839936444533436
1105	105-109	0.3241914087671418
1105	110-114	0.26844380214814834
1105	115-119	0.33067830821504174
1105	120-124	0.2245179536289399
1105	125-129	0.3146169540889332
1105	130-134	0.23360691286916335
1105	135-139	0.4149289337154869
1105	140-144	0.4127875882832086
1105	145-149	0.3429538851134666
1105	150-151	0.2810692911593975
1106	1	0.07886929018024347
1106	2	0.06296138929644002
1106	3	0.1287472284571507
1106	4	0.1345616284577389
1106	5	-8.607784203462643E-5
1106	6	0.022067058686907615
1106	7	-0.07586864563884888
1106	8	0.17652569236456372
1106	9	0.10908677775551467
1106	10-14	0.06035257246658432
1106	15-19	0.1921198036251539
1106	20-24	0.1795688664058943
1106	25-29	0.13925965299312537
1106	30-34	0.027016923943399718
1106	35-39	0.0865659921625479
1106	40-44	0.1144367353680451
1106	45-49	0.1086785500451839
1106	50-54	0.1632018081564368
1106	55-59	0.20126427323568663
1106	60-64	0.21182531980262098
1106	65-69	0.11029992572426295
1106	70-74	0.22021709194832084
1106	75-79	0.17230795475831684
1106	80-84	0.21125836725416036
1106	85-89	0.3853462876623581
1106	90-94	0.2927007163145561
1106	95-99	0.3005839474523597
1106	100-104	0.3107153081403098
1106	105-109	0.3318784417675573
1106	110-114	0.19753129719209994
1106	115-119	0.34680021319205423
1106	120-124	0.23585951017694384
1106	125-129	0.405546058307344
1106	130-134	0.2591027451616341
1106	135-139	0.48100659075912944
1106	140-144	0.528990004543715
1106	145-149	0.5033906891554452
1106	150-151	0.32375927713044916
1107	1	0.08884373726809258
1107	2	0.18656699331441473
1107	3	0.13608708218875876
1107	4	0.07521719282463835
1107	5	0.13933589766241283
1107	6	0.1765564410113427
1107	7	0.20261404006033246
1107	8	0.27948630563445676
1107	9	0.10750073493235845
1107	10-14	0.15919123666606794
1107	15-19	0.2130326593833729
1107	20-24	0.2239815899938833
1107	25-29	0.19181230080351241
1107	30-34	0.14785400210006827
1107	35-39	0.09785329022609801
1107	40-44	0.18411284784069437
1107	45-49	0.13558301326791167
1107	50-54	0.14393754574813045
1107	55-59	0.13323764482564826
1107	60-64	0.20622712457654302
1107	65-69	0.17628909951915972
1107	70-74	0.18819627649333626
1107	75-79	0.2175745755399916
1107	80-84	0.2400039823878899
1107	85-89	0.34231045549018546
1107	90-94	0.1963480147418437
1107	95-99	0.2996438093515934
1107	100-104	0.2372143524184125
1107	105-109	0.34184368263552756
1107	110-114	0.2927490789403677
1107	115-119	0.35638475995301633
1107	120-124	0.31165401537956683
1107	125-129	0.3086384805150715
1107	130-134	0.36223148122311954
1107	135-139	0.5156775052832714
1107	140-144	0.519627435814364
1107	145-149	0.5068133410937605
1107	150-151	0.535487239317419
1108	1	0.105519125372048
1108	2	0.15585009116894355
1108	3	0.03790986258296414
