##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BAC_R2_001_fastq
1103	45-49	0.3707248800915153
1103	50-54	0.3929714762003016
1103	55-59	0.3529216901431198
1103	60-64	0.3797124226167128
1103	65-69	0.3447593645144451
1103	70-74	0.4403706702142003
1103	75-79	0.44304229470520795
1103	80-84	0.4334008059209822
1103	85-89	0.441583635173707
1103	90-94	0.4815897200310033
1103	95-99	0.6571966546350936
1103	100-104	0.5160082032722784
1103	105-109	0.4938164023552787
1103	110-114	0.5345748601097924
1103	115-119	0.6005982443486104
1103	120-124	0.5836740336913593
1103	125-129	0.6729148920113346
1103	130-134	0.6592326012924516
1103	135-139	0.7146523388503141
1103	140-144	0.6990213922000805
1103	145-149	0.6442126331141154
1103	150-151	0.5039277824906314
1104	1	0.10996533349693038
1104	2	0.2508616966328603
1104	3	0.08239319807717038
1104	4	0.2323287334492221
1104	5	0.27498728883180945
1104	6	0.17126673847697305
1104	7	0.2429682451724986
1104	8	0.2441030102448707
1104	9	0.15646757564950775
1104	10-14	0.20854572146533457
1104	15-19	0.32184570199781604
1104	20-24	0.3631096238657179
1104	25-29	0.2422683924792679
1104	30-34	0.23094299166795906
1104	35-39	0.303628533596644
1104	40-44	0.24283808985583022
1104	45-49	0.25731489319630896
1104	50-54	0.29130625571022506
1104	55-59	0.27339630750575594
1104	60-64	0.34906635900627947
1104	65-69	0.35345516576220604
1104	70-74	0.36271931679830516
1104	75-79	0.3628337408083624
1104	80-84	0.41897868937641647
1104	85-89	0.40503017458929236
1104	90-94	0.45071812118926147
1104	95-99	0.5275183183856953
1104	100-104	0.4690992631755364
1104	105-109	0.4347890914838004
1104	110-114	0.4760615277822282
1104	115-119	0.5500771635660087
1104	120-124	0.5144619596059172
1104	125-129	0.5517726599973187
1104	130-134	0.4444634549802231
1104	135-139	0.49923556491845744
1104	140-144	0.609424796164042
1104	145-149	0.6948952823811112
1104	150-151	0.8309837323918323
1105	1	0.0634409514996861
1105	2	0.18403811233471856
1105	3	0.32517959860425094
1105	4	0.12209595850939081
1105	5	0.3840719263309893
1105	6	0.17988190522366665
1105	7	0.15092865097456354
1105	8	0.2597633402351178
1105	9	0.27540237211360363
1105	10-14	0.2739528284195458
1105	15-19	0.3184611781129689
1105	20-24	0.3799809576118136
1105	25-29	0.26653743714702216
1105	30-34	0.2584933271135128
1105	35-39	0.2802589851177757
1105	40-44	0.3095271363627674
1105	45-49	0.35257358126074934
1105	50-54	0.3147823262287446
1105	55-59	0.4020600847000395
1105	60-64	0.39790631385220365
1105	65-69	0.3690999284834078
1105	70-74	0.46242790957607127
1105	75-79	0.4507752750379339
1105	80-84	0.4587981015712188
1105	85-89	0.45617432600930385
1105	90-94	0.45701792984958445
1105	95-99	0.6186748615199775
1105	100-104	0.5046132170365567
1105	105-109	0.562194649557334
1105	110-114	0.620766597568867
1105	115-119	0.6658598253847643
1105	120-124	0.5796689832708566
1105	125-129	0.7649532001244097
1105	130-134	0.62599015351433
1105	135-139	0.5778763335320676
1105	140-144	0.6142493323842615
1105	145-149	0.6736374568685761
1105	150-151	0.6814065740182222
1106	1	0.06370873803128063
1106	2	0.2514927888385756
1106	3	0.2003785614945457
1106	4	0.17409242806515124
1106	5	0.1761419412469465
1106	6	0.14953610188075572
1106	7	0.32854536752793706
1106	8	0.282261580018357
1106	9	0.15595539718376727
1106	10-14	0.24047100286620804
1106	15-19	0.2482348692958638
1106	20-24	0.2979608627770176
1106	25-29	0.2607655946088414
1106	30-34	0.2501383873279437
1106	35-39	0.24937248104978949
1106	40-44	0.22036981391697452
1106	45-49	0.3269577845803937
1106	50-54	0.26919092555525737
1106	55-59	0.3433964515512926
1106	60-64	0.3380780906862384
1106	65-69	0.3355674209055479
1106	70-74	0.43736115672891174
1106	75-79	0.48008936719392636
1106	80-84	0.4989644965447937
1106	85-89	0.49901595400417875
1106	90-94	0.5510001129257063
1106	95-99	0.6187726274377141
1106	100-104	0.6068616657330637
1106	105-109	0.621211849280364
1106	110-114	0.6187343756928954
1106	115-119	0.6013046306110539
1106	120-124	0.6610325121005189
1106	125-129	0.7345585521474121
1106	130-134	0.6025600154164295
1106	135-139	0.7602389675681565
1106	140-144	0.6783431560449031
1106	145-149	0.7618685757565018
1106	150-151	0.6255095430650641
1107	1	0.17248155140251953
1107	2	0.2864876151149076
1107	3	0.22982839356338047
1107	4	0.27850625032969134
1107	5	0.3723334962173368
1107	6	0.16077734866222215
1107	7	0.3585151502315469
1107	8	0.39600529334249757
1107	9	0.27374183412106134
1107	10-14	0.2725728409991319
1107	15-19	0.36333303253802285
1107	20-24	0.30244739218817074
1107	25-29	0.30382438254805066
1107	30-34	0.3069847191406794
1107	35-39	0.3156653272092669
1107	40-44	0.32751577583302094
1107	45-49	0.30637564506026393
1107	50-54	0.34122080797406085
1107	55-59	0.3730140978356502
1107	60-64	0.4414486631375638
1107	65-69	0.4112820849292902
1107	70-74	0.43571929946371313
1107	75-79	0.40437239899348043
1107	80-84	0.4828298497299599
1107	85-89	0.4833937040706502
1107	90-94	0.5065993693098321
1107	95-99	0.6926683936797815
1107	100-104	0.5562942925290386
1107	105-109	0.5884914439787892
1107	110-114	0.5876416170644845
1107	115-119	0.573298070263121
1107	120-124	0.582698050446318
1107	125-129	0.6528074887423045
1107	130-134	0.6221464440849971
1107	135-139	0.608314687477737
1107	140-144	0.6802813352040715
1107	145-149	0.7300299197051388
1107	150-151	0.8514199146027757
1108	1	0.13177328976302505
1108	2	0.10695671560912956
1108	3	0.44919554995414757
1108	4	0.25053808196356897
1108	5	0.3049953512863368
1108	6	0.2511440318519931
1108	7	0.3728720856538814
1108	8	0.2878369099164715
1108	9	0.1907231751224998
1108	10-14	0.2935554554043378
1108	15-19	0.31660707300838453
1108	20-24	0.36704252851244235
1108	25-29	0.19723270136959314
1108	30-34	0.17000263416692718
1108	35-39	0.25803051233351226
1108	40-44	0.29944795891784537
1108	45-49	0.27767535946436084
1108	50-54	0.34102525184536603
1108	55-59	0.3847032884122754
1108	60-64	0.2604683209052965
1108	65-69	0.23480729383936705
1108	70-74	0.320724044340885
1108	75-79	0.45438491585294116
1108	80-84	0.359545623623319
1108	85-89	0.35272951966238253
1108	90-94	0.3712774505977521
1108	95-99	0.5200848881910005
1108	100-104	-0.043345732769751066
1108	105-109	-0.0030091899666757627
1108	110-114	0.059812369171403645
1108	115-119	0.07541909841763328
1108	120-124	0.05559112017260759
1108	125-129	0.20492144913558974
1108	130-134	0.05466918605412019
1108	135-139	0.0630393685809878
1108	140-144	0.1614716342948448
1108	145-149	0.17028986553353676
1108	150-151	0.09159852703367832
1109	1	0.18007208547118836
1109	2	0.24765975938203866
1109	3	0.2459341542215725
1109	4	0.2392907285853667
1109	5	0.2155553196321094
1109	6	0.11970153352520896
1109	7	0.2400051470639255
1109	8	0.23400956857697253
1109	9	0.22964440576480172
1109	10-14	0.20154823217888662
1109	15-19	0.2715068696973191
1109	20-24	0.2844630456718136
1109	25-29	0.18301405989161879
1109	30-34	0.28171057340090755
1109	35-39	0.25509226442320454
1109	40-44	0.2565493361762208
1109	45-49	0.2512819813861782
1109	50-54	0.2739218152677978
1109	55-59	0.31172624356038625
1109	60-64	0.37124586014694216
1109	65-69	0.2971006686738349
1109	70-74	0.3367488049413083
1109	75-79	0.4056363016490252
1109	80-84	0.4299336199963619
1109	85-89	0.303641921017352
1109	90-94	0.47481020216545033
1109	95-99	0.5577464975986501
1109	100-104	0.39689901171861663
1109	105-109	0.48532661939176336
1109	110-114	0.49631649061404204
1109	115-119	0.5710614382743842
1109	120-124	0.5139167877918709
1109	125-129	0.563457434591669
1109	130-134	0.6244062300808295
1109	135-139	0.6122428319431279
1109	140-144	0.581059334660111
1109	145-149	0.5375301818836036
1109	150-151	0.6454777760871018
1110	1	0.24906402578285736
1110	2	0.18720348481910776
1110	3	0.07782296119025744
1110	4	0.233153014411279
1110	5	0.10613512567025651
1110	6	-0.05298290772645231
1110	7	0.24879623582552313
1110	8	0.09167929569865407
1110	9	0.13119815907574406
1110	10-14	0.1305219820029606
1110	15-19	0.16869003278365113
1110	20-24	0.2257229784972381
1110	25-29	0.18121920910192557
1110	30-34	0.15646826812420045
1110	35-39	0.048765679030573494
1110	40-44	0.06144581002149607
1110	45-49	0.13627751186707115
1110	50-54	0.21156284082666588
1110	55-59	0.2075703881115274
1110	60-64	0.26064202969116934
1110	65-69	0.19960828519202067
1110	70-74	0.25440752139175515
1110	75-79	0.29025146717263084
1110	80-84	0.28223387603544836
1110	85-89	0.3463920337962705
1110	90-94	0.31640903076613114
1110	95-99	0.5648517258448038
1110	100-104	0.35816112726456595
1110	105-109	0.40702560779610053
1110	110-114	0.3429826496173689
1110	115-119	0.40163840709146825
1110	120-124	0.4196800962707883
1110	125-129	0.4089049521557371
1110	130-134	0.4389330411835175
1110	135-139	0.428614622132109
1110	140-144	0.4951114219306163
1110	145-149	0.5898572969724114
1110	150-151	0.5467452974697871
1111	1	0.12859007712250303
1111	2	0.09133877806164037
1111	3	0.3163565281909726
1111	4	0.22551476084377242
1111	5	0.16058713071181785
1111	6	0.17070780669980223
1111	7	0.23040649031618443
1111	8	0.23075065543256557
1111	9	0.15133212081554603
1111	10-14	0.27809715933670986
1111	15-19	0.3378413132207214
1111	20-24	0.3377608190022414
1111	25-29	0.30099773988550993
1111	30-34	0.2892779003162005
1111	35-39	0.2205236350044757
1111	40-44	0.22358610035399096
1111	45-49	0.22127702699230412
1111	50-54	0.345240641560288
1111	55-59	0.35102770076811396
1111	60-64	0.37030657255954935
1111	65-69	0.34972095983053464
1111	70-74	0.37874227236210345
1111	75-79	0.29974859509938057
1111	80-84	0.4254664124829546
1111	85-89	0.44988103026589243
1111	90-94	0.4675434646346943
1111	95-99	0.5677996357808937
1111	100-104	0.49716751828624695
1111	105-109	0.5269893292415588
1111	110-114	0.6099257183484355
1111	115-119	0.6401068948179471
1111	120-124	0.6379473384413998
1111	125-129	0.5934498851008172
1111	130-134	0.5806343517670385
1111	135-139	0.4637740014356453
1111	140-144	0.5986284603726375
1111	145-149	0.5605008583279982
1111	150-151	0.5241934673886703
1112	1	-0.055503201861291984
1112	2	0.3972635102637483
1112	3	0.24294672631401681
1112	4	0.18652528316816586
1112	5	0.20320728428087875
1112	6	0.28259518939010775
1112	7	0.30624306250312117
1112	8	0.19956286512069
1112	9	0.2600248879024676
1112	10-14	0.2536796790068223
1112	15-19	0.21686681326811907
1112	20-24	0.17240296517723408
1112	25-29	0.19388995715728896
1112	30-34	0.24123922366438677
1112	35-39	0.22568660359591775
1112	40-44	0.23227364713557108
1112	45-49	0.28380698976478413
1112	50-54	0.2846281902265346
1112	55-59	0.27715500695161666
1112	60-64	0.3274220267866923
1112	65-69	0.32615419195168727
1112	70-74	0.37132198008202977
1112	75-79	0.33818719345750736
1112	80-84	0.38551654291303805
1112	85-89	0.35762004489857446
1112	90-94	0.40725800375246024
1112	95-99	0.5656098077886824
1112	100-104	0.43626274250080144
1112	105-109	0.38832706955176377
1112	110-114	0.36998894203861
1112	115-119	0.46685704909126
1112	120-124	0.5137363205220637
1112	125-129	0.4350614021998567
1112	130-134	0.38215996766397353
1112	135-139	0.52829456627817
1112	140-144	0.452245910419677
1112	145-149	0.487495671567423
1112	150-151	0.5053403902623792
1113	1	0.10351763341854081
1113	2	0.18251998041230166
1113	3	0.1877098768325638
1113	4	0.17055779741650667
1113	5	0.12293072630647828
1113	6	0.023032449971253754
1113	7	0.18627669793244195
1113	8	0.2734673778741197
1113	9	0.18245785062320152
1113	10-14	0.19185215401382294
1113	15-19	0.22164304423140635
1113	20-24	0.2635288177419284
1113	25-29	0.20640607413383805
1113	30-34	0.22798312724281544
1113	35-39	0.19617140679645928
1113	40-44	0.2176222529244498
1113	45-49	0.2622709196510229
1113	50-54	0.21383300399185146
1113	55-59	0.2929417642753265
1113	60-64	0.2696794160520355
1113	65-69	0.22058434134560656
1113	70-74	0.24371008892997992
1113	75-79	0.26100936342641745
1113	80-84	0.362914765630002
1113	85-89	0.26018867349791464
1113	90-94	0.3592918601894013
1113	95-99	0.5138987433551208
1113	100-104	0.3190356740676137
1113	105-109	0.3645049608472206
1113	110-114	0.43149370948262344
1113	115-119	0.24835177555878118
1113	120-124	0.3260068691515414
1113	125-129	0.44961174364546963
1113	130-134	0.3461104978443146
1113	135-139	0.35682955414453943
1113	140-144	0.38085696989061546
1113	145-149	0.21853610369265652
1113	150-151	0.35069663774697446
1114	1	0.20269622582966207
1114	2	0.19102568029710199
1114	3	0.15068983066729658
1114	4	0.22987684685870846
1114	5	0.13170929074898652
1114	6	0.15570005063056414
1114	7	0.017480977130865938
